sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
27036501835,2020-05-05T07:42:30Z,81,21,20,40,78,54,0.11645813282001925
27020796420,2020-05-04T07:35:30Z,71,20,21,30,34,55,0.12483221476510067
27008385544,2020-05-03T08:40:00Z,84,21,22,41,90,57,0.09331919406150584
26995140811,2020-05-02T08:06:00Z,77,20,18,39,78,55,0.06521739130434782
26979876458,2020-05-01T07:32:30Z,77,21,22,34,71,56,0.08540540540540541
26966496871,2020-04-30T07:25:30Z,81,22,20,39,84,55,0.08886389201349831
26951297395,2020-04-29T06:55:30Z,78,20,22,36,31,55,0.09154113557358054
26920229090,2020-04-27T07:27:00Z,79,20,22,37,80,58,0.09651474530831099
26907762952,2020-04-26T09:02:00Z,70,21,13,36,57,55,0.08622754491017964
26895517753,2020-04-25T09:02:30Z,83,21,21,41,80,55,0.09568874868559411
26881712151,2020-04-24T07:37:30Z,78,21,21,36,71,55,0.11413043478260869
26866844205,2020-04-23T07:29:30Z,84,21,22,41,65,53,0.0700507614213198
26852552589,2020-04-22T07:24:00Z,81,21,20,40,53,52,0.08970438328236494
26837325318,2020-04-21T07:22:30Z,74,17,22,35,69,53,0.0908004778972521
26822234896,2020-04-20T07:19:00Z,73,17,20,36,50,53,0.1113662456946039
26809310401,2020-04-19T07:46:30Z,77,17,23,37,80,55,0.06496272630457935
26793369132,2020-04-18T08:04:30Z,74,16,19,39,54,55,0.11365902293120637
26784388627,2020-04-17T07:40:30Z,83,21,21,41,91,55,0.1128254580520733
26769400643,2020-04-16T07:39:00Z,80,21,21,38,77,55,0.11316113161131611
26757071933,2020-04-15T07:39:00Z,86,21,23,42,75,55,0.07955801104972375
26738234930,2020-04-14T07:27:30Z,84,21,21,42,64,56,0.08748728382502544
26710108002,2020-04-12T08:31:30Z,74,17,15,42,37,56,0.1293322062552832
26698347190,2020-04-11T08:11:30Z,83,21,22,40,81,56,0.11263467189030363
26686362860,2020-04-10T07:41:00Z,77,21,21,35,82,55,0.08939213349225268
26671006348,2020-04-09T07:37:30Z,82,22,21,39,93,55,0.09017223910840932
26658722243,2020-04-08T07:32:00Z,79,19,22,38,75,56,0.07751937984496124
26641192204,2020-04-07T07:36:00Z,85,22,21,42,85,56,0.07475622968580715
26627815376,2020-04-06T07:19:00Z,81,20,22,39,31,59,0.0936768149882904
26615029314,2020-04-05T08:28:30Z,83,22,20,41,103,57,0.09726156751652502
26602108032,2020-04-04T07:51:30Z,81,21,17,43,110,55,0.10599478714161599
26588263952,2020-04-03T07:31:30Z,79,21,21,37,82,56,0.09364548494983277
26572803497,2020-04-02T07:26:30Z,85,21,22,42,61,55,0.09397344228804903
26560254601,2020-04-01T07:09:00Z,85,21,21,43,74,55,0.0719656283566058
26547654603,2020-03-31T07:23:30Z,86,21,20,45,63,57,0.13284804367606914
26534998395,2020-03-30T07:33:30Z,75,21,22,32,57,57,0.10726256983240223
26522901772,2020-03-29T07:58:00Z,83,21,22,40,54,59,0.09359605911330049
26510831312,2020-03-28T08:39:00Z,82,20,17,45,81,57,0.08845437616387337
26497657220,2020-03-27T07:58:30Z,77,19,19,39,79,55,0.11781888997078871
26485672147,2020-03-26T07:52:00Z,83,22,19,42,91,54,0.09237379162191192
26469243252,2020-03-25T07:45:30Z,75,19,20,36,52,54,0.09810479375696766
26461389643,2020-03-24T07:51:30Z,81,20,22,39,61,55,0.08820286659316427
